job,web,com,salary
高级JAVA开发工程师（武汉）,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-18000
AI算法工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-20000
技术支持/项目经理,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-15000
服务支持工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,4000-8000
中高级JAVA开发工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,8000-14000
PHP高级工程师,http://company.zhaopin.com/CZ617135920.htm,武汉市众捷易科技有限公司,10001-15000
实习python开发工程师助理,http://company.zhaopin.com/CC566985081.htm,广州艾科网络科技有限公司,4000-6000
算法工程师,http://company.zhaopin.com/CZ447823910.htm,武汉迈普时空导航科技有限公司,10001-15000
在线科技老师,http://company.zhaopin.com/CZ703291520.htm,深圳市编玩边学教育科技有限公司,8001-10000
web前端初级开发工程师,http://special.zhaopin.com/pagepublish/54172052/index.html,武汉鼎森电子科技有限公司,6000-12000
算法工程师-武汉,http://company.zhaopin.com/CZ614757020.htm,深圳市众泰兄弟科技发展有限公司,6000-10000
IT培训讲师（Linux）,http://xiaoyuan.zhaopin.com/subcompany/CC000117819D90000018000,中公教育,面议
算法工程师,http://company.zhaopin.com/CZ777879060.htm,武汉摩小超科技有限公司,15000-20000
数据分析师,http://company.zhaopin.com/CZ344944780.htm,湖北良品铺子食品工业有限公司,4001-6000
软件测试讲师（武汉，10-15K/月）,http://company.zhaopin.com/CZ700720330.htm,上海博辑商务咨询合伙企业(有限合伙),10001-15000
软件工程师,http://company.zhaopin.com/CZ543114780.htm,湖北地创三维科技有限公司,8001-10000
系统运维工程师,http://company.zhaopin.com/CZ446309820.htm,北京嘉配科技有限公司,5000-8000
C++ 游戏服务端开发工程师,http://company.zhaopin.com/CZ464861630.htm,云创动力(武汉)科技有限公司,10000-15000
高级Java开发工程师-武汉研发中心,http://company.zhaopin.com/CZ464861630.htm,云创动力(武汉)科技有限公司,4000-6000
数据采集/爬虫,http://company.zhaopin.com/CZ898236110.htm,武汉莱博信息技术有限公司,1500-2500
NLP自然语言处理工程师,http://company.zhaopin.com/CZ898236110.htm,武汉莱博信息技术有限公司,9000-18000
项目经理（java类）,http://company.zhaopin.com/CZ563625620.htm,武汉珈和科技有限公司,10001-15000
遥感算法工程师,http://company.zhaopin.com/CZ563625620.htm,武汉珈和科技有限公司,10000-20000
软件测试工程师,http://company.zhaopin.com/CC202961680.htm,湖北兴洪泰投资有限公司,4001-6000
视频技术研发工程师,http://company.zhaopin.com/CC484586232.htm,北京无忧创想信息技术有限公司武汉分公司,10001-15000
测试工程师,http://company.zhaopin.com/CC484586232.htm,北京无忧创想信息技术有限公司武汉分公司,10001-15000
技术经理（PHP方向）,http://company.zhaopin.com/CC484586232.htm,北京无忧创想信息技术有限公司武汉分公司,20001-30000
图像算法工程师,http://company.zhaopin.com/CZ897099110.htm,武汉真元生物数据有限公司,15001-20000
区块链工程师,http://company.zhaopin.com/CC640949488.htm,核控科技创新发展(武汉)有限公司,18000-30000
驱动开发工程师,http://company.zhaopin.com/CZ367984930.htm,武汉珞光电子有限公司,10001-15000
软件运维工程师+双休,http://company.zhaopin.com/CZ818512610.htm,前海金信(深圳)科技有限责任公司,5000-10000
中级测试工程师,http://special.zhaopin.com/wh/2010/geostar091913,武大吉奥信息技术有限公司,8000-12000
高级测试工程师-远程办公无需坐班,http://company.zhaopin.com/CZ656803480.htm,山东瑞波供应链管理有限公司,6000-12000
测试工程师,http://company.zhaopin.com/CC662416128.htm,北京百家互联科技有限公司,8000-16000
测试工程师,http://special.zhaopin.com/wh/2010/geostar091913,武大吉奥信息技术有限公司,6000-12000
游戏公司急招C++开发工程师（五险双休）,http://company.zhaopin.com/CZ457608080.htm,武汉市尚上游科技有限公司,8001-10000
数据工程师,http://company.zhaopin.com/CC466367337.htm,北京阿博茨科技有限公司武汉分公司,10001-15000
测试工程师实习生,http://company.zhaopin.com/CC466367337.htm,北京阿博茨科技有限公司武汉分公司,1000-2000
初级人工智能开发,http://company.zhaopin.com/CZ346930630.htm,武汉市华信智原科技有限公司,6001-8000
BI分析师助理/数据分析师助理,http://company.zhaopin.com/CZ346930630.htm,武汉市华信智原科技有限公司,5000-10000
高级软件工程师,http://company.zhaopin.com/P2/CC1549/7531/CC154975315.htm,深圳市恒扬数据股份有限公司,10000-20000
web前端工程师,http://company.zhaopin.com/CZ445700820.htm,上海亦策软件科技有限公司,8000-15000
IT培训讲师（Linux）,http://company.zhaopin.com/CZ217000520D00112051721.htm,中公教育湖北分公司,6000-12000
大数据工程师,http://special.zhaopin.com/bj/2010/Dayang052012/enter.htm,北京中科大洋科技发展股份有限公司,15000-20000
云计算工程师,http://special.zhaopin.com/bj/2010/Dayang052012/enter.htm,北京中科大洋科技发展股份有限公司,15000-20000
Java开发工程师（武汉光谷）,http://company.zhaopin.com/CC250897935.htm,威讯柏睿数据科技(北京)有限公司,10001-15000
高级java研发工程师,http://company.zhaopin.com/CC250897935.htm,威讯柏睿数据科技(北京)有限公司,15001-20000
c++研发工程师,http://special.zhaopin.com/bj/2010/Dayang052012/enter.htm,北京中科大洋科技发展股份有限公司,8000-15000
Java研发总监（双休 五险一金）,http://company.zhaopin.com/%E6%B9%96%E5%8C%97%E5%BE%AE%E9%A9%BE%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC451286018.htm,湖北微交平台系统有限公司,20000-25000
java开发（人工智能大数据方向）签约实习生,http://company.zhaopin.com/CC689935929.htm,北京百知教育科技有限公司,7000-13000
风控策略经理,http://company.zhaopin.com/CZ554994030.htm,武汉隆乾信息科技有限责任公司,15001-20000
测试工程师,http://company.zhaopin.com/CC502568188.htm,武汉小海樽科技有限公司,6001-8000
Python开发工程师,http://company.zhaopin.com/CZ403445580.htm,武汉港迪智能技术有限公司,6001-8000
研发工程师,http://company.zhaopin.com/CZ403445580.htm,武汉港迪智能技术有限公司,8001-10000
运维高级工程师,http://company.zhaopin.com/CZ590207820.htm,武汉理工数字传播工程有限公司,8000-14000
Java后台高级开发工程师,http://company.zhaopin.com/CC220501686.htm,武汉傲亿科技有限公司,10001-15000
Java架构师,http://company.zhaopin.com/%E6%AD%A6%E6%B1%89%E6%AD%A3%E7%BB%B4%E7%94%B5%E5%AD%90%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC121139363.htm,武汉正维电子技术有限公司,18000-22000
爬虫开发工程师【武汉-汉阳区】,http://company.zhaopin.com/CC443756683.htm,武汉众廉科技有限公司,6000-10000
web前端/软件开发/H5工程师（提供住宿）,http://company.zhaopin.com/CZ528833380.htm,湖北华奥星空体育产业联盟发展有限公司,4001-6000
高级java开发工程师,http://company.zhaopin.com/CC507553785.htm,武汉四海华彩互联网科技信息有限公司,12000-20000
高级JAVA开发工程师（武汉）,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-18000
AI算法工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-20000
技术支持/项目经理,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-15000
服务支持工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,4000-8000
中高级JAVA开发工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,8000-14000
PHP高级工程师,http://company.zhaopin.com/CZ617135920.htm,武汉市众捷易科技有限公司,10001-15000
实习python开发工程师助理,http://company.zhaopin.com/CC566985081.htm,广州艾科网络科技有限公司,4000-6000
算法工程师,http://company.zhaopin.com/CZ447823910.htm,武汉迈普时空导航科技有限公司,10001-15000
在线科技老师,http://company.zhaopin.com/CZ703291520.htm,深圳市编玩边学教育科技有限公司,8001-10000
web前端初级开发工程师,http://special.zhaopin.com/pagepublish/54172052/index.html,武汉鼎森电子科技有限公司,6000-12000
算法工程师-武汉,http://company.zhaopin.com/CZ614757020.htm,深圳市众泰兄弟科技发展有限公司,6000-10000
IT培训讲师（Linux）,http://xiaoyuan.zhaopin.com/subcompany/CC000117819D90000018000,中公教育,面议
算法工程师,http://company.zhaopin.com/CZ777879060.htm,武汉摩小超科技有限公司,15000-20000
数据分析师,http://company.zhaopin.com/CZ344944780.htm,湖北良品铺子食品工业有限公司,4001-6000
软件测试讲师（武汉，10-15K/月）,http://company.zhaopin.com/CZ700720330.htm,上海博辑商务咨询合伙企业(有限合伙),10001-15000
软件工程师,http://company.zhaopin.com/CZ543114780.htm,湖北地创三维科技有限公司,8001-10000
系统运维工程师,http://company.zhaopin.com/CZ446309820.htm,北京嘉配科技有限公司,5000-8000
C++ 游戏服务端开发工程师,http://company.zhaopin.com/CZ464861630.htm,云创动力(武汉)科技有限公司,10000-15000
高级Java开发工程师-武汉研发中心,http://company.zhaopin.com/CZ464861630.htm,云创动力(武汉)科技有限公司,4000-6000
数据采集/爬虫,http://company.zhaopin.com/CZ898236110.htm,武汉莱博信息技术有限公司,1500-2500
NLP自然语言处理工程师,http://company.zhaopin.com/CZ898236110.htm,武汉莱博信息技术有限公司,9000-18000
项目经理（java类）,http://company.zhaopin.com/CZ563625620.htm,武汉珈和科技有限公司,10001-15000
遥感算法工程师,http://company.zhaopin.com/CZ563625620.htm,武汉珈和科技有限公司,10000-20000
软件测试工程师,http://company.zhaopin.com/CC202961680.htm,湖北兴洪泰投资有限公司,4001-6000
视频技术研发工程师,http://company.zhaopin.com/CC484586232.htm,北京无忧创想信息技术有限公司武汉分公司,10001-15000
测试工程师,http://company.zhaopin.com/CC484586232.htm,北京无忧创想信息技术有限公司武汉分公司,10001-15000
技术经理（PHP方向）,http://company.zhaopin.com/CC484586232.htm,北京无忧创想信息技术有限公司武汉分公司,20001-30000
图像算法工程师,http://company.zhaopin.com/CZ897099110.htm,武汉真元生物数据有限公司,15001-20000
区块链工程师,http://company.zhaopin.com/CC640949488.htm,核控科技创新发展(武汉)有限公司,18000-30000
驱动开发工程师,http://company.zhaopin.com/CZ367984930.htm,武汉珞光电子有限公司,10001-15000
软件运维工程师+双休,http://company.zhaopin.com/CZ818512610.htm,前海金信(深圳)科技有限责任公司,5000-10000
中级测试工程师,http://special.zhaopin.com/wh/2010/geostar091913,武大吉奥信息技术有限公司,8000-12000
高级测试工程师-远程办公无需坐班,http://company.zhaopin.com/CZ656803480.htm,山东瑞波供应链管理有限公司,6000-12000
测试工程师,http://company.zhaopin.com/CC662416128.htm,北京百家互联科技有限公司,8000-16000
测试工程师,http://special.zhaopin.com/wh/2010/geostar091913,武大吉奥信息技术有限公司,6000-12000
游戏公司急招C++开发工程师（五险双休）,http://company.zhaopin.com/CZ457608080.htm,武汉市尚上游科技有限公司,8001-10000
数据工程师,http://company.zhaopin.com/CC466367337.htm,北京阿博茨科技有限公司武汉分公司,10001-15000
测试工程师实习生,http://company.zhaopin.com/CC466367337.htm,北京阿博茨科技有限公司武汉分公司,1000-2000
初级人工智能开发,http://company.zhaopin.com/CZ346930630.htm,武汉市华信智原科技有限公司,6001-8000
BI分析师助理/数据分析师助理,http://company.zhaopin.com/CZ346930630.htm,武汉市华信智原科技有限公司,5000-10000
高级软件工程师,http://company.zhaopin.com/P2/CC1549/7531/CC154975315.htm,深圳市恒扬数据股份有限公司,10000-20000
web前端工程师,http://company.zhaopin.com/CZ445700820.htm,上海亦策软件科技有限公司,8000-15000
IT培训讲师（Linux）,http://company.zhaopin.com/CZ217000520D00112051721.htm,中公教育湖北分公司,6000-12000
大数据工程师,http://special.zhaopin.com/bj/2010/Dayang052012/enter.htm,北京中科大洋科技发展股份有限公司,15000-20000
云计算工程师,http://special.zhaopin.com/bj/2010/Dayang052012/enter.htm,北京中科大洋科技发展股份有限公司,15000-20000
Java开发工程师（武汉光谷）,http://company.zhaopin.com/CC250897935.htm,威讯柏睿数据科技(北京)有限公司,10001-15000
高级java研发工程师,http://company.zhaopin.com/CC250897935.htm,威讯柏睿数据科技(北京)有限公司,15001-20000
c++研发工程师,http://special.zhaopin.com/bj/2010/Dayang052012/enter.htm,北京中科大洋科技发展股份有限公司,8000-15000
Java研发总监（双休 五险一金）,http://company.zhaopin.com/%E6%B9%96%E5%8C%97%E5%BE%AE%E9%A9%BE%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC451286018.htm,湖北微交平台系统有限公司,20000-25000
java开发（人工智能大数据方向）签约实习生,http://company.zhaopin.com/CC689935929.htm,北京百知教育科技有限公司,7000-13000
风控策略经理,http://company.zhaopin.com/CZ554994030.htm,武汉隆乾信息科技有限责任公司,15001-20000
测试工程师,http://company.zhaopin.com/CC502568188.htm,武汉小海樽科技有限公司,6001-8000
Python开发工程师,http://company.zhaopin.com/CZ403445580.htm,武汉港迪智能技术有限公司,6001-8000
研发工程师,http://company.zhaopin.com/CZ403445580.htm,武汉港迪智能技术有限公司,8001-10000
运维高级工程师,http://company.zhaopin.com/CZ590207820.htm,武汉理工数字传播工程有限公司,8000-14000
Java后台高级开发工程师,http://company.zhaopin.com/CC220501686.htm,武汉傲亿科技有限公司,10001-15000
Java架构师,http://company.zhaopin.com/%E6%AD%A6%E6%B1%89%E6%AD%A3%E7%BB%B4%E7%94%B5%E5%AD%90%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC121139363.htm,武汉正维电子技术有限公司,18000-22000
爬虫开发工程师【武汉-汉阳区】,http://company.zhaopin.com/CC443756683.htm,武汉众廉科技有限公司,6000-10000
web前端/软件开发/H5工程师（提供住宿）,http://company.zhaopin.com/CZ528833380.htm,湖北华奥星空体育产业联盟发展有限公司,4001-6000
高级java开发工程师,http://company.zhaopin.com/CC507553785.htm,武汉四海华彩互联网科技信息有限公司,12000-20000
高级JAVA开发工程师（武汉）,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-18000
AI算法工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-20000
技术支持/项目经理,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,10000-15000
服务支持工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,4000-8000
中高级JAVA开发工程师,http://special.zhaopin.com/pagepublish/30018788/index.html,北京广通信达软件股份有限公司杭州分公司,8000-14000
PHP高级工程师,http://company.zhaopin.com/CZ617135920.htm,武汉市众捷易科技有限公司,10001-15000
实习python开发工程师助理,http://company.zhaopin.com/CC566985081.htm,广州艾科网络科技有限公司,4000-6000
